text,true_label,svm_prediction,distilbert_prediction,svm_error,distilbert_error,both_wrong,models_disagree
"Today is Seyi Odusanya's birthday. Reply to post on his Timeline or reply 1 to post ""Happy Birthday!"".",1,1,1,False,False,False,False
Enjoy 1 month Free Life & Accident insurance cover worth N100,1,1,1,False,False,False,False
Y'ello! Text STATE OF ORIGIN LGA. Choose .,1,1,1,False,False,False,False
dear all i wish to appreciate everyone that participated in the successful conduction of csc 211 test yesterday thanks.  kindly collect csc 211 scripts for further processing thanks. Dr arogundade,0,0,0,False,False,False,False
Jesus where did he faint even me am scared now,0,0,0,False,False,False,False
Get your callers dancing to 1 Free Ring Back Tune for 30days. Text 2 to 251 for Aye by Davido or text 17 to 251 for Gallardo by Runtown ft Davido. Hurry Now!,1,1,1,False,False,False,False
E se jare ore mi. Ehn,0,0,0,False,False,False,False
Pls be informed dt PT defense comes up on Wed.,0,0,0,False,False,False,False
Morning Mrs ogunsha,0,0,0,False,False,False,False
Yello! Subscribe and listen to Daily sermons from Bishop Benson Oritsejolomisan on MTN Subscription Devotional Service ¿ N100 per momth. Dial 450118(TOLLFREE),1,1,1,False,False,False,False
When things dont go right,1,0,0,True,True,True,False
Experience convenience! Use GTBank 1-Click Airtime topup from your GTBank account from your registered phone number. Simply dial *737*AMOUNT# e.g. *737*1000#,0,0,0,False,False,False,False
As a single footstep will not make a path on the earth,1,0,1,True,False,False,True
Many thanks,0,0,0,False,False,False,False
081XXXXX63- Ola Diamond,0,0,0,False,False,False,False
Please send me credit. Get 100% bonus when you recharge with *885*RechargePin# on SmoothTalk and Trutalk. Bonus expires daily @ 11:59pm.,0,0,0,False,False,False,False
Get Aye by Davido FREE for 30 days. To get this tune,1,1,1,False,False,False,False
Twin sister,0,0,0,False,False,False,False
Okay,0,0,0,False,False,False,False
My Oga..missed ur call in the morning was in church. am going to the US tomorrow. Just wanted to say Hi. Eku ipalemo conference. My regards to Aunty and ibeji's,0,0,0,False,False,False,False
How Nigerian are you? Prove it! Answer 3 Questions correctly & be rewarded with DSTV Walka7s & more. Text GOL to 5030 T&Cs apply and stop to unsubcribe,1,1,1,False,False,False,False
Can't talk now. Call me later please!,0,0,0,False,False,False,False
Mr paul gud mornin,0,0,0,False,False,False,False
Network Is Bad So I Cant Chat For Now.,0,0,0,False,False,False,False
Get Daily News Alert Delivered to Your Mobile Phone.Text News to 35241.Cost N100 /30days,1,1,1,False,False,False,False
Dear Customer you recharged 1000.00 naira and you have been rewarded with 1000.00 naira for national calls.For recharging this week,0,1,1,True,True,True,False
Name: My New gtb NoTel: 00XXXXXX36,0,0,0,False,False,False,False
scratching ears shows lack of confidence,1,0,1,True,False,False,True
Support 9ija at the WorldCup,1,0,1,True,False,False,True
Taking a walk can prove very beneficial during stressful times at work or after having had a heated debate,1,0,1,True,False,False,True
Hope you're enjoying SMS Chat. Your subscription will be renewed in 24 hrs @ N50/wk,1,1,1,False,False,False,False
Goodmorning Mum pls I need your assistance want to complete d fees of my house rent paid 20 earlier remaining 10.. Mum pls help in any lil way you can d landlord given me a deadline of this week. Pls mum.,0,0,0,False,False,False,False
Y'ello! You have received 125MB extra data in the MTN Data Delight offer,1,1,1,False,False,False,False
Acct: ******1736Amt: NGN200.00 DrDesc: Airtime Purchase-USSD-101CT0000000000004838387¿USSDAvail Bal: NGN118,0,0,0,False,False,False,False
200.00NGN has been credited. Main Bal:N 202.67. Enjoy 9K/s on Bounce2Bounce,1,1,1,False,False,False,False
A race horse that consistently runs just 1 sec faster than the others is worth millions of dollars more.Never compromise on second position.,1,1,1,False,False,False,False
80XXXXXXX47,0,0,0,False,False,False,False
Winners campus fellowship holds this wednesday at dewot event center by 4pm .pls come with a friend and worship with us and u will be richly blessed.,0,0,0,False,False,False,False
Your N250 Get N750  bundle balance is 488.40 Naira. Bundle expires on 08/12/2015 08:15 AM.,1,1,1,False,False,False,False
Please call me. Enjoy NON-STOP chatting on WhatsApp,1,0,0,True,True,True,False
Y'ello! Get FREE 200% airtime to call MTN2MTN when you recharge upto N750.Hurry & recharge before 11:59pm 9th April,1,1,1,False,False,False,False
Morning. Am on it. Thks,0,0,0,False,False,False,False
Seen before 4 I'll send it I'll call you when I do,0,0,0,False,False,False,False
The remarkable thing about fearing God is that when you fear God you fear nothing else,1,1,1,False,False,False,False
8262 2126 4511 5873,0,0,0,False,False,False,False
Your Balances are BB Absolute/Complete: 1637MB till 16-Mar. BB Plan: 29MB till 24-Feb. BB Plan: 10MB till 24-Feb.,1,1,1,False,False,False,False
Thank you Sir. Uncle Kelly said u were coming yesterday and gave me some cheques for u. So I was expecting you.,0,0,0,False,False,False,False
To login goto www.brightaviationng.com/cpanel   username:brightav  password:Sg563Bf2vh,0,0,0,False,False,False,False
Have you registered for your FREE life insurance and hospital cash today? Simply dial *259# to register. Recharge up to N5000 monthly to qualify.,0,1,1,True,True,True,False
Fulfilling the ambition could mean taking the risk. Be brave as fortune favours the brave. Just stand up and take action.,1,0,1,True,False,False,True
What is in the vicinity of our minds r the negative situations surrounding us,1,1,0,False,True,False,True
you are right brother... how is all am on my from lokoja ..i call when i get home,0,0,0,False,False,False,False
Hellow sir,0,0,0,False,False,False,False
Happiness is when what you think,1,1,1,False,False,False,False
Name: Erioluwa MscTel: 080XXXXXX25Name: Erioluwa Msc1Tel: 070XXXXXX14,0,0,0,False,False,False,False
.Enjoy 100%extra data between 1AM &5AM for 7days.Text ON to 229 @N100.,0,1,1,True,True,True,False
M at under bridge,0,0,0,False,False,False,False
Please call me. Watch Man City vs Norwich,1,0,0,True,True,True,False
Dpompin09@yahoo.co.uk,0,1,1,True,True,True,False
"Lola newton, this is it +2346XXXXXXX54 tony",0,0,0,False,False,False,False
1.Egypt criminalises sexual harassment 2.Hillary Clinton explores possibility of a 2016 run for U.S president 3.Search for missing flight MH370 to be privatized,1,1,1,False,False,False,False
Thanks for ur advice and thanks always be there for me.Am so grateful sir.,0,0,0,False,False,False,False
From tobi blessing's frd,0,0,0,False,False,False,False
Eventually,0,0,1,False,True,False,True
Get live action and match highlights from Brazil,0,1,1,True,True,True,False
How are u moving today? if u are going to Pit,0,0,0,False,False,False,False
Don't worry pls find out for me,0,0,0,False,False,False,False
Strength does not come from winning.Your struggles develop your strengths.When you go through hardships and decide not to surrender that is strength.,1,0,1,True,False,False,True
?~Tip For Lifetime~  Try to pretend that,0,0,0,False,False,False,False
Welcome to 10MB 1-Day Mobile Data plan,1,1,1,False,False,False,False
Pls pay 14,0,0,1,False,True,False,True
Eecli 4 verse 9-6,0,0,0,False,False,False,False
AlertZAcct:200**001DT:7/31/2014:12:00 AMMC Int Web Prch-000000008702--WWW.ADR Amt:287.54Br:Sango OtaBal:19,0,0,0,False,False,False,False
BRING UR FLASH TO SCHOOL TOMOROW. DR ODULATE,0,0,0,False,False,False,False
One of the best ways to educate heart is to look at interaction,1,1,1,False,False,False,False
Download without any limits! Games,1,1,1,False,False,False,False
Amen thanks. Hope ull come around?,0,0,0,False,False,False,False
Oluikpe4real@yahoo.com,0,0,0,False,False,False,False
Your Google verification code is 512943,1,1,1,False,False,False,False
Stand out to grasp the second half of the year.Joy unequalled never ending is your portion.Welcome to June.Ps.30:5,0,1,1,True,True,True,False
Get latest football news from SuperSport. Text SSW to 4900 for 7 days free,1,1,1,False,False,False,False
Pls 4 d sake of Allah,0,0,0,False,False,False,False
Yello.. Subscribe and listen to Daily sermons from Bishop Benson Oritsejolomisan on MTN Subscription Devotional Service ¿ N100 per month. Dial 450118(TOLLFREE),1,1,1,False,False,False,False
It was deliberate... I don't use it much in the lab. I use the PC there. One because internet access is on it. And secondly my PC usually hangs when I run MATLAB on it cos of the large volume of data. And that is the main tool I work in the lab,0,0,0,False,False,False,False
Acct: ******1736Amt: NGN37,0,0,0,False,False,False,False
D typ of ur previous laptop dey. 40k hoc,0,0,0,False,False,False,False
Ahhhhhhh,0,0,0,False,False,False,False
Free Free!!! Get the latest gossips & hot news in the world of Hollywood stars on your mobile!! SMS HNP to 38567 for 7 days FREE trial!!Hurry limited offer!!,1,1,1,False,False,False,False
Eopeyemi@alientechltd.us password:opeyemi2015,0,0,0,False,False,False,False
Name: Dr Ogini OsogboTel: 08XXXXXXX24,0,0,0,False,False,False,False
Y'ello! Get to know more about Nigeria's history this Democracy Day. Simply text NHISTORY to 700 for Nigeria History. Service costs N50 weekly,1,1,1,False,False,False,False
TUNDE NO FOR NOW +234 81XXXXXXX87,0,0,0,False,False,False,False
070XXXXXXX90 has been honoured with the chance to receive today's Great Quotes & a surprise FREE gift! Congrats! To get it,1,1,1,False,False,False,False
A praya 2bless ur way,0,0,0,False,False,False,False
Acct: ******1736Amt: NGN100.00 DrDesc: Airtime Purchase-USSD-101CT0000000000003738006¿USSDAvail Bal: NGN95,0,0,0,False,False,False,False
Tp12/13/h/1183,0,0,1,False,True,False,True
Does your number end in 2?TODAY 27/07you're chosen to participate for the 'Nigeria Centenary 100 Million Naira Mega Jackpot'!Send WIN to 35777!N100/SMS,1,1,1,False,False,False,False
Pls attend the Inaugural Lecture of Prof Olusegun Olukayode Odukoya on Wed Feb 19,0,0,0,False,False,False,False
Direct to ur phone the popular OUR DAILY BREAD devotional!Strengthen ur walk with God and get deeper in the WORD. Subscribe now.sms ODB to 38299.Cost:N50 7days,1,1,1,False,False,False,False
Thanks for your support. God bless.,0,0,0,False,False,False,False
Happy birthday bro,0,0,0,False,False,False,False
Season Of Love. Spice Up Every Call this Christmas. For We wish u a Merry Xmas,1,1,0,False,True,False,True
Dia has always bin alot of anger in me &loneliness weneva i tink of aw i was maltreated but ur care & guidance 2wards me change my feelings dat dia is stil u whose style of relationship is worth emulating. Thanks 4 being  there,0,0,0,False,False,False,False
Here is my no 07XXXXXX805,0,0,0,False,False,False,False
Trst 2day wnt well,0,0,0,False,False,False,False
Everyone has a voice deep inside; a voice that says,1,0,1,True,False,False,True
The most important things in life have been accomplished by people who kept on trying when there seemed to be no hope at all. Never give up!,1,1,1,False,False,False,False
Sorry didn't hear u d oda tym..call me wen u done. Tkia,0,0,0,False,False,False,False
Blvd,0,0,0,False,False,False,False
Gud afternoon ma,0,0,0,False,False,False,False
M almost done where I am be on my way soon,0,0,0,False,False,False,False
I to be ur friend,0,0,0,False,False,False,False
It's OK.  I understand,0,0,0,False,False,False,False
Its just meaningless to expect your partner to be of your kind because you cannot hold their right hand in your right to walk together.,1,1,1,False,False,False,False
Transfered 50k to your ECOBANK Account earlier today. It is part of the tithe from the sponsorship i was given 4my trip. God bless you & keep us in your prayers,0,1,0,True,False,False,True
Our thoughts create our atmosphere. People who are soaked in the world have occasional noble thoughts.,1,1,1,False,False,False,False
Recharge with N1000 this week(Mon to Sun) & get 50% extra airtime to call Airtel lines; Bonus is for 3days. For bonus bal,0,0,0,False,False,False,False
access>>>MonthEnd BalName:ONYEKA ESENWAAcctNo:0060948144Balance:NGN4,1,1,0,False,True,False,True
Welcome to BRAIN-WAVE easy Trivia.Answer three questions only and get instant MTN Airtime. To get started now N10/SMSText WAVE to 5032,1,1,1,False,False,False,False
JOKE. Wife: If i knew u were this poor I wouldnt hav married u! Akpos: what do u think I meant when I said u were d only thing I have in this world?,1,0,1,True,False,False,True
Sp116username pw david pls is henry code don't wnt hm to knw,0,0,0,False,False,False,False
Gud p.m. Oluwafolakemi. How's ur work today? Have a wonderful restful night. God bless u,0,0,0,False,False,False,False
Free for 1 week,1,1,1,False,False,False,False
Ju,0,0,0,False,False,False,False
Dial *678# to subscribe to Airtel Mobile Newspaper alerts at N120 monthly . Stay up-to-date with breaking news,0,1,1,True,True,True,False
Our past is a series of lessons that advance us to higher levels of living and loving. The relationships we entered or ended taught us necessary lessons,1,1,1,False,False,False,False
winners campus fellowship holds today  by 4pm @ dewort,0,0,0,False,False,False,False
Bible reference for fight of faith now pls,0,0,0,False,False,False,False
Welcome to 100MB Mobile Data plan,1,1,1,False,False,False,False
Believe in the rewards that await u,1,0,1,True,False,False,True
U can call me now pls...ad 2 pick mum's call.I'm sorry,0,0,0,False,False,False,False
"Y'ello ! Mr 2Kay is back with a BANG. Enjoy his latest hit song ""Moniegram ft Timaya""as your caller tune",1,1,1,False,False,False,False
On my way to Ogba from Maryland ...can we see briefly? Be there in like 30mins,0,0,0,False,False,False,False
THE SEMI-FINALS ARE HERE! Get LIVE game updates & summary of Brazil's match today against Germany! Text SOCCER to 33118 @N50/Wk. Text STOP to 33111 to OptOut,1,1,1,False,False,False,False
id:1570583615 sub:001 dlvrd:001 submit date:1511180008 done date:1511180008 stat:DELIVRD err:000 text:,0,0,0,False,False,False,False
Fire can be silent with water,0,0,1,False,True,False,True
Last call was 51 sec at N0.00.Main Bal: N21.00.Bumpa Bal: N309.50. ALL IN 1 OFFER! Just recharge N500 and get 500MB Data plus N500 to call ALL,1,1,1,False,False,False,False
Failure is not when you dont reach your GOALS. It is when you dont have any goals to reach.,1,1,1,False,False,False,False
Mammy said she called U .Have U slept?,0,0,0,False,False,False,False
Do not brood over your past mistakes and failures as this will only fill your mind with grief and regret. Just never repeat them in the future.,1,1,1,False,False,False,False
3XXXXXXX10 Ayandiran Bolanle k first bank,0,0,0,False,False,False,False
D birth of JESUS brngz JOY~GRACE~LUV in2 ds world:may djoy of dLord nva depart 4rm u,0,0,0,False,False,False,False
Good health is the best investment you can make. Get 5 health and fitness tips FREE then N50/5days. Text SUB to 38777 at no cost!,1,1,1,False,False,False,False
Goal update: Arsenal 1:0 Stoke City Arsenal score a goal through A. Ramsey! at 5.Dial *244# For More,1,1,1,False,False,False,False
Congratulations on ur admission to Funaab.One tin dat brings First Class with ease is the effective use of past questions.Freshers Meal is a handy archive of all available and up to date past questions,0,1,0,True,False,False,True
Compliments.I'll not be home cos I'm in church for youth camp.I'll let you know when I'll be around.no offense. Take careFrom: OPSSON smartphone,0,0,0,False,False,False,False
You have no more SMS on your SMS bundle,1,1,1,False,False,False,False
you need help or information about the Ebola virus? Please call 08037879701/08037154575 or email ebolainfo@health.gov.ng (Federal Ministry of Health),1,1,1,False,False,False,False
Happy new month.  Jesus loves you.,0,0,0,False,False,False,False
Guess wat bro? Aunty aishat just gave birth to a bouncin baby gal todae wich is 28th march nd 2morrow 29th march is also ur bofdae congratulationz,0,0,0,False,False,False,False
Yea I go arrange  am bro.  Thanks for your long patience.  You're bae(no homo),0,0,0,False,False,False,False
AlertZAcct:200**001DT:8/1/2014:4:16 PMPOS Intl- WWW.ALIEXPRESS.COM - 2C8CDR Amt:283.76Br:Head OfficeBal:18,0,0,0,False,False,False,False
Medical: Gall stones can cause a right-sided tummy pain. Prevent this by cutting down on oily foods. Stop fried foods! Drink 8 to 10 glasses of water daily.,1,1,1,False,False,False,False
Yello welcome to MTN please SAVE the setup information that will be sent shortly,1,1,1,False,False,False,False
I'll call u wen its 12.30am with ma Mtn....don't sleep oo,0,0,0,False,False,False,False
Ebola is spread through contact with blood,1,1,1,False,False,False,False
Get 1 FREE Ring Back Tune for 30days. Text 10 to 251 for  Ghen Ghen Love by Yemi Alade or Text MORE to 251 for a list of more free tunes. Valid till April 30th,1,1,1,False,False,False,False
Acct: ******1736Amt: NGN18,0,0,0,False,False,False,False
"Yes!!! Anoda gr8 opotunity has cum 2wrk in His vineyard. We r 2prayafuli prepare 4a ministratn dt goes inline wit""D VESSEL OF LIGHT""as we luk forward 2welcum dose in mawuko on sunday(feb14). PLZ",0,0,0,False,False,False,False
534,0,0,1,False,True,False,True
Get the latest hit Dorobucci by The Mavins crew on MTN Callertune! Text 030100 to 4100 to get it now. N50/tune.,1,1,1,False,False,False,False
I wish that you were here,1,0,0,True,True,True,False
Happy children day.,0,0,0,False,False,False,False
Thrill your callers with your Favourite Football Club Ring Back Tune for FREE. Text CLUB to 251 for a list of football club tunes or text 10 to 251 for Man U,1,1,1,False,False,False,False
First bank acc;No: 30XXXXXX056Name: Salami AFUSAT,0,0,0,False,False,False,False
A pessimist sees the difficulty in every opportunity; an optimist sees the opportunity in every difficulty. Even impossible,1,1,1,False,False,False,False
Your account was credited with N100 and service charge of N10 deducted. N100 will be deducted upon your next recharge. Please repay by 05/Jul/2014,1,1,1,False,False,False,False
Oluwolepaul@gmail.com,0,0,0,False,False,False,False
Beluvd,0,0,0,False,False,False,False
00XXXXXX10 GTB SAVINGSOLUBIYI AKINTUNDE C,0,0,0,False,False,False,False
Gudmorning,0,0,0,False,False,False,False
While waiting for P67,0,0,1,False,True,False,True
Gudmornin Ay hw was us night pls i just wanted to ask u if u av given d engineer d phone pls cal my mtn no. Thank you.,0,0,0,False,False,False,False
Get tunes in this Advent calender free for 7days326-Jolificate327-Merry litte christmas341-Happy holidaysTunes&Service N50 after,1,1,1,False,False,False,False
Your account was credited with N100 and service charge of N10 deducted. N100 will be deducted upon your next recharge. Please repay by 30/Jul/2014,1,1,1,False,False,False,False
Happy Sunday to u ma,0,0,0,False,False,False,False
Miles may lie between us but we are never far apart. For love doesn't count the miles. It's measured by the heart. I love you. Sweet dreams,0,0,0,False,False,False,False
Nigga whollup whollup...I just wan remind you not to forget the jacket o. In igbo... Shebapo,0,0,0,False,False,False,False
Txn Id R140614.2143.210022 to recharge 90 NGN from 7087214890 is successful. New balance is 90.22 NGN,0,0,0,False,False,False,False
You have purchased a recharge of NGN 90.00 from NTS TECHNOLOGIES NTS. Transid AIR-1405786403-444,1,1,1,False,False,False,False
Good morning to u sir,0,0,0,False,False,False,False
Congratulations! 08123984798 is one of the few lucky who can access our exclusive Famous Quotes service! To get started call *585*4*1# now! N20/day.,1,1,1,False,False,False,False
Aldo i dnt knw wah i did 2u but wateva t may am xowi. av missed ur presnce in ma hrt n i wnt ma fwend bak. No 1can rplace ur place in my hrt.I care n stil luv u,0,0,0,False,False,False,False
Cop: Didnt you hear my whistle,1,0,0,True,True,True,False
thank u ma,0,0,0,False,False,False,False
Dear owner of number 2347XXXXX11 – are you ready to WIN up to N4000?! Play Mind2Moni game and WIN prizes! Start here: http://tin.bz/bVjH6 Price: N20/day.,1,1,1,False,False,False,False
Lol. Forgive my troubles sir. Thanks sir,0,0,0,False,False,False,False
Yea I'll initiate the transfer,0,0,0,False,False,False,False
Text me pls. I'm in church,0,0,0,False,False,False,False
M.D.W.U.I.U.BN...MEDOO..IN DEO'S SPARAMUS!!!,0,0,0,False,False,False,False
Stil on d way.,0,0,0,False,False,False,False
There are some people who live in a dream world,1,1,1,False,False,False,False
OK...sir. Just entered his office now,0,0,0,False,False,False,False
Thanks alot ma,0,0,0,False,False,False,False
Hmm I guess I shouldn't wait till I have what I really intend to send.  I'm going to transfer 2k now but u may not see it until tommorow cos its not instant,0,0,0,False,False,False,False
"Interested in the latest gist. Enjoy 7 days free of ""iROKOtv""service. Text ""irokotv"" to 33300.Offer ends 11:59pm",1,1,1,False,False,False,False
You will need to meet the lady that led Bible study at church yesterday to give her the office key. She would be at 5th opposite the bookshop. She should be there by abt 11:15am.,0,0,0,False,False,False,False
Sir my matric number is PG/13/0225communicationandGeneral studies.thank you sir,0,0,0,False,False,False,False
FREE LIVEWELL TIPS! Health is wealth and with LiveWell tips,1,1,1,False,False,False,False
I Am sorry to tell you this but it is the truth Am not ready for relationship and I don't think Am d right person for You Am telling u this bcos I don't want to hurt you Bye from Femi,0,0,0,False,False,False,False
Mr Ayoola 08XXXXXX17,0,0,0,False,False,False,False
Good day.  Please note that your house rent expired on 31st Dec. 2013. Please ensure you pay immediately into the account below.  OLUWAGBENRO Thomas Olus,0,0,0,False,False,False,False
dell inspiron 11 3000,0,0,1,False,True,False,True
Paulo pls pay in 30k into 1002226443 uba..... maa muti-ventures ltd,0,0,0,False,False,False,False
Enjoy uninterrupted chatting and PINGing on BBM,1,1,1,False,False,False,False
Don't let your account balance run LOW!!! Call 14120 for FREE to get your AIRTIME today...,0,1,1,True,True,True,False
What do you do in a situation,1,0,0,True,True,True,False
Am stil waiyx to see ur sallah outluk even though u dd nt request for anythx.,0,0,0,False,False,False,False
There is a letter and a cheque for you at Funaab . You can call me sir. It is with me.,0,0,0,False,False,False,False
Your opportunity to become PMP Certified is here. Register for your PMP Training today at Idea Konsult,0,1,1,True,True,True,False
Do have a safe trip and may the Lord prosper your ways and surround you with favour everywhere you go. We're missing you already.,0,0,0,False,False,False,False
Usernane: ogungbilPasssord: yur7a9GK88You can access the control panel here: www.ogungbile.net/cpanel,0,0,0,False,False,False,False
HE sees it from d begining just as HE'll see u tru 2014-A Victor.HE'll make all lines fall in pleasant places 4u.Happy New Year...Accept my best wishes in 2014.,0,0,0,False,False,False,False
PUNCH NEWSWEDESDAY,1,1,1,False,False,False,False
Dial *662# on ur phone & follow d options,0,1,0,True,False,False,True
LIVE MATCH: World Cup Argentina vs Switzerland at Arena Corinthians. Kick-off at 01-07-2014 17:00.,1,1,1,False,False,False,False
"Isa Adio invited you to Facebook. Sign up today for free: http://fb.com/l/24rQyAY5juy27xn Reply ""stop"" to stop getting Facebook texts",1,1,1,False,False,False,False
From Begger take bus to Iyanaipaja. From Iyanaipaja take a bus to Iyanoba. From Iyanoba take  a bus going to Badagry & drop at Living Faith Church when u,0,0,0,False,False,False,False
A Nigerian proverb says that: He who is afraid of doing too much always does too little.Reply PRO for Naija Proverbs at N50/wk,1,1,1,False,False,False,False
Happy new month you sir,0,0,0,False,False,False,False
When an egg is broken with force from the outside,1,1,1,False,False,False,False
Mrs Cold-catcher,0,0,0,False,False,False,False
When a person yields to selfish impulses,1,0,1,True,False,False,True
"Hv U picked up a Membership Card? Our 1st Meetn Session holds ds Sat. (15th) @ ""Peak Olam Suites""",0,0,0,False,False,False,False
Uwc dear,0,0,0,False,False,False,False
Just think! In the past,1,0,0,True,True,True,False
Plz,0,0,0,False,False,False,False
Welcome to MTN BlackBerry BBLITED. You have 10MB inclusive data bundle,1,1,1,False,False,False,False
M,1,0,0,True,True,True,False
Your Acct 3041207489 Has Been Debited with NGN500.00 On 05-MAR-2014 10:10:47 By ATM WITHDRAWAL-GTBank EBranch UNAAB/Ogun. Bal: NGN1,0,0,0,False,False,False,False
"Thank you for using SMS Chat service. You have been successfully unsubscribed. You can re-join at anytime by sending ""1"" to 38490.",1,1,1,False,False,False,False
AlertZAcct:200**001DT:7/30/2014:12:00 AMMC Int Web Prch-000000005291--WWW.ADR Amt:490.00Br:Sango OtaBal:2,0,0,0,False,False,False,False
Flat,1,0,1,True,False,False,True
Enjoy updates on global business,1,1,1,False,False,False,False
Gud a.m dearie....pls hlp me bring ur 501note to skul and beep me wen u are in skul.takia,0,0,0,False,False,False,False
Am in church already jere. Omo AGS not smilling,0,0,0,False,False,False,False
I may not get to see you as often as I like,0,0,0,False,False,False,False
Mrning.Pls note that Closure of school does not affect CSC 602 Project,0,0,0,False,False,False,False
GAME ON Latest & Exciting Unlimited mobile games to thrill your mind. Check the best collection. Click: http://games.glo.com,1,1,1,False,False,False,False
An ordnary stone in David's hand had an xtra-ordnay efect on Goliath.May d ordnary tinz u do hens4th result 2 an extra-ordnary brk2rus.Success in ur xams,0,0,0,False,False,False,False
Your Acct 3041207489 Has Been Debited with NGN3,0,0,0,False,False,False,False
Your MTN Smart Biz will expire on 20/Aug/2014 14:36 and will be automatically renewed. We hope you're enjoying it. Thank you!,1,1,1,False,False,False,False
Notice is hereby given 4 collectn of nominatn form into all elective positions of ASUU UNAAB. Obtain nominatn form@ d Secretariat & return same on/or before 13th March 2014 by 4pm. Contestants must ensure adherence to PHC declaration. Candidate who violate d declaration shall be disqualified.,0,0,0,False,False,False,False
People who fasten themselves to small things deprive themselves of the bigger things in life.,1,1,1,False,False,False,False
Yello ! Get the hottest release  “Go” by Tuface on MTN Callertunez. Reply 78 to 4100 to get it now at N5 valid for 30 days.,1,1,1,False,False,False,False
He is only advancing in life,1,0,0,True,True,True,False
8088667773,0,0,1,False,True,False,True
If we are in tune,1,0,1,True,False,False,True
"Well Done! 09092071782 you are among the special ones to win 7 FREE days of ""History Facts"" & then N100/week! Text OK to 7803 at no cost!",1,1,1,False,False,False,False
We should be going on in 5 mins,0,0,0,False,False,False,False
"Today is Oladipupo Olawale Adisa's birthday. Reply to post on his Timeline or reply 1 to post ""Happy Birthday!"".",1,1,1,False,False,False,False
Dear esteemed NCS member,0,0,0,False,False,False,False
Beluvd! Ao z bn ur break?D mini campus interview has alredy kickd off. Blvd,0,0,0,False,False,False,False
Dear MR ODULUSI,0,0,0,False,False,False,False
Ok thank u God bless u big for.me,0,0,0,False,False,False,False
Mrnin 2 u,0,0,0,False,False,False,False
Your Acct 3041207489 Has Been Debited with NGN10,0,0,0,False,False,False,False
Back to Enugu.,0,0,0,False,False,False,False
Do you have a car? Did you know that you can keep it running like new. To know about your car,1,1,1,False,False,False,False
Evening ma,0,0,0,False,False,False,False
I'm n chm 231 class..:-) vvv tired.wasup wit u???HP u gud.God bless u,0,0,0,False,False,False,False
Bode & Ikeade Maxwell.GTBank: 0046655614. Thank you,0,0,0,False,False,False,False
You know what?  I'm coming today,0,0,0,False,False,False,False
As u step in2 anoda year of ur life may u plant & reap favor,0,0,0,False,False,False,False
Like the stars were made to twinkle,0,1,0,True,False,False,True
180.00NGN has been credited. Main Bal:N 182.30. Enjoy 9K/s on Bounce2Bounce,1,1,1,False,False,False,False
If your inner self is not satisfied with you then you will never be able to satisfy the outer circle.,1,0,1,True,False,False,True
JOKE. Teacher: Amaka,1,0,1,True,False,False,True
Good evening guys. In May,0,0,0,False,False,False,False
WE CARE FOR YOU 24 hours a day. You can reach our customer support by dialing 121,1,1,1,False,False,False,False
Thoburn no 13,0,0,0,False,False,False,False
Tak a very gud kia of ursef,0,0,0,False,False,False,False
Odulusi Gbenga Peter,0,0,0,False,False,False,False
Ma thank u very much ma.I am very grateful ma.thanks,0,0,0,False,False,False,False
In d middle of something....I'll call u,0,0,0,False,False,False,False
Yello! You have used up your BB10 data plan but you will now continue enjoying data at N0.006835938 kobo/KB until the data plan expires on 2016-02-13,1,1,1,False,False,False,False
Acct: ******1736Amt: NGN90,0,0,0,False,False,False,False
Acct: ******1736Amt: NGN300.00 DrDesc: Airtime Purchase-USSD-101CT0000000000005663173¿USSDAvail Bal: NGN46,0,0,0,False,False,False,False
Calvary grtns,0,0,0,False,False,False,False
Wat happened to him hope he is okay now,0,0,0,False,False,False,False
Discover Twitter!Go to m.twitter.com/verge or reply FOLLOW VERGE for more Tweets. Reply DISCOVER OFF to stop. Terms: https://t.co/tos/s/7z2Y,1,1,1,False,False,False,False
Straight from cupid himself. Get 3 days FREE daily relationship health tips that would keep you both falling in love over and over with each other. Subscribe by sending RH to 4949,0,1,1,True,True,True,False
Remember to show your support and appreciation for the people who place their hope in you. These are the most important people in your life.,1,1,1,False,False,False,False
Pls text prof Ezeri asgmnt to me thks,0,0,0,False,False,False,False
Sorry here is it 111952789827531 am sorry I travelled,0,0,0,False,False,False,False
08XXXXXXX70  MRS OLUKEHINDE.VICE PRINCIPAL,0,0,0,False,False,False,False
At Last!Our 1st meetn holds 2day by 1pm @Peak Olam Suites,0,0,0,False,False,False,False
Your Bumpa account has been credited with N2000.00 valid until 03/02/2016. To check bonus dial #122*2#,1,1,1,False,False,False,False
Catch the Football fever on Facebook without internet. Dial *510# and join Free quick Facebook now!,1,1,1,False,False,False,False
(08XXXXXX00) (08XXXXXX07) His name... Kojusola Tunde,0,0,0,False,False,False,False
Hi dear,0,0,0,False,False,False,False
Congratulations Phone Lord! Enjoy Rental Bonus of N50 for today. Bonus to be used for on-net calls and SMS till 9am today,1,1,1,False,False,False,False
pls kindly change my address before uploading d paper Department of Electrical and Information Engineering,0,0,0,False,False,False,False
Teamvier. Id: 531 812 529. Password: 8vx52q,1,0,0,True,True,True,False
Bosnia V Iran 5PM,1,0,1,True,False,False,True
Am Sorry Don't Let me delay you. You call go home will call you when .done,0,0,0,False,False,False,False
